Site,Date,Celcius,Fahrenheit
1,06-06-2023,16.5,61.8
2,06-06-2023,14.7,58.5
1,06-07-2023,13.7,56.6
2,06-07-2023,15.5,60
1,06-08-2023,16.9,62.4
2,06-08-2023,14.1,57.5
1,06-09-2023,18.1,64.6
2,06-09-2023,16.2,61.2
